[+00:00:00 | ~--:--:-- left] Device: cuda
Computing baselines (100 episodes each)...
  Random baseline: 56.0% ± 18.0%
  Greedy baseline: 80.1% ± 12.0%
[+00:02:50 | ~01:30:05 left] [Ep 154] Reward: 249.82 | Coverage: 63.1% | Eps: 0.963 | Loss: 0.0000
[+00:02:51 | ~01:30:04 left] [Ep 155] Reward: 226.86 | Coverage: 67.1% | Eps: 0.963 | Loss: 0.0000
[+00:02:53 | ~01:30:03 left] [Ep 156] Reward: 349.12 | Coverage: 46.1% | Eps: 0.963 | Loss: 0.0000
[+00:02:54 | ~01:30:02 left] [Ep 157] Reward: 437.44 | Coverage: 61.0% | Eps: 0.963 | Loss: 0.0000
[+00:02:55 | ~01:30:01 left] [Ep 158] Reward: 362.12 | Coverage: 63.8% | Eps: 0.962 | Loss: 0.0000
[+00:02:56 | ~01:30:00 left] [Ep 159] Reward: 315.40 | Coverage: 62.4% | Eps: 0.962 | Loss: 0.0000
[+00:02:57 | ~01:29:58 left] [Ep 160] Reward: 202.59 | Coverage: 50.2% | Eps: 0.962 | Loss: 0.0000
[+00:02:58 | ~01:29:57 left] [Ep 161] Reward: 157.51 | Coverage: 58.7% | Eps: 0.962 | Loss: 0.0000
[+00:02:59 | ~01:29:56 left] [Ep 162] Reward: 368.74 | Coverage: 68.0% | Eps: 0.962 | Loss: 0.0000
[+00:03:00 | ~01:29:55 left] [Ep 163] Reward: 278.16 | Coverage: 46.5% | Eps: 0.961 | Loss: 0.0000
[+00:03:01 | ~01:29:54 left] [Ep 164] Reward: 445.95 | Coverage: 59.2% | Eps: 0.961 | Loss: 0.0000
[+00:03:03 | ~01:29:53 left] [Ep 165] Reward: 128.31 | Coverage: 63.2% | Eps: 0.961 | Loss: 0.0000
[+00:03:04 | ~01:29:52 left] [Ep 166] Reward: 352.86 | Coverage: 51.6% | Eps: 0.961 | Loss: 0.0000
[+00:03:05 | ~01:29:51 left] [Ep 167] Reward: 207.26 | Coverage: 59.8% | Eps: 0.960 | Loss: 0.0000
[+00:03:06 | ~01:29:49 left] [Ep 168] Reward: 321.86 | Coverage: 49.3% | Eps: 0.960 | Loss: 0.0000
[+00:03:07 | ~01:29:48 left] [Ep 169] Reward: 244.90 | Coverage: 50.9% | Eps: 0.960 | Loss: 0.0000
[+00:03:08 | ~01:29:47 left] [Ep 170] Reward: 344.56 | Coverage: 50.9% | Eps: 0.960 | Loss: 0.0000
[+00:03:09 | ~01:29:46 left] [Ep 171] Reward: 392.14 | Coverage: 57.3% | Eps: 0.959 | Loss: 0.0000
[+00:03:10 | ~01:29:45 left] [Ep 172] Reward: 362.59 | Coverage: 55.5% | Eps: 0.959 | Loss: 0.0000
[+00:03:11 | ~01:29:44 left] [Ep 173] Reward: 368.34 | Coverage: 62.2% | Eps: 0.959 | Loss: 0.0000
[+00:03:13 | ~01:29:43 left] [Ep 174] Reward: 463.58 | Coverage: 50.1% | Eps: 0.959 | Loss: 0.0000
[+00:03:14 | ~01:29:42 left] [Ep 175] Reward: 321.33 | Coverage: 55.3% | Eps: 0.958 | Loss: 0.0000
[+00:03:15 | ~01:29:41 left] [Ep 176] Reward: 439.44 | Coverage: 62.3% | Eps: 0.958 | Loss: 0.0000
[+00:03:16 | ~01:29:40 left] [Ep 177] Reward: 290.09 | Coverage: 59.7% | Eps: 0.958 | Loss: 0.0000
[+00:03:17 | ~01:29:38 left] [Ep 178] Reward: 304.91 | Coverage: 47.6% | Eps: 0.958 | Loss: 0.0000
[+00:03:18 | ~01:29:38 left] [Ep 179] Reward: 430.26 | Coverage: 60.4% | Eps: 0.957 | Loss: 0.0000
[+00:03:19 | ~01:29:36 left] [Ep 180] Reward: 453.18 | Coverage: 53.1% | Eps: 0.957 | Loss: 0.0000
[+00:03:20 | ~01:29:35 left] [Ep 181] Reward: 269.47 | Coverage: 58.6% | Eps: 0.957 | Loss: 0.0000
[+00:03:21 | ~01:29:34 left] [Ep 182] Reward: 115.66 | Coverage: 58.0% | Eps: 0.957 | Loss: 0.0000
[+00:03:22 | ~01:29:33 left] [Ep 183] Reward: 240.57 | Coverage: 63.9% | Eps: 0.957 | Loss: 0.0000
[+00:03:23 | ~01:29:32 left] [Ep 184] Reward: 361.58 | Coverage: 56.9% | Eps: 0.956 | Loss: 0.0000
[+00:03:24 | ~01:29:31 left] [Ep 185] Reward: 384.20 | Coverage: 44.3% | Eps: 0.956 | Loss: 0.0000
[+00:03:25 | ~01:29:30 left] [Ep 186] Reward: 264.76 | Coverage: 47.3% | Eps: 0.956 | Loss: 0.0000
[+00:03:26 | ~01:29:29 left] [Ep 187] Reward: 233.42 | Coverage: 60.8% | Eps: 0.956 | Loss: 0.0000
[+00:03:28 | ~01:29:28 left] [Ep 188] Reward: 336.75 | Coverage: 54.5% | Eps: 0.955 | Loss: 0.0000
